Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Ordinario,MARTINI Simone,MARTINI Simone,MARTINI,Martini,Simone,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica - Scienza e Ingegneria,,,https://openalex.org/A5086707385,Simone Martini,0000-0002-9834-1940,26.0,54.0,205.0,2552.0,Presidio Ospedaliero
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARTINO Alessio,MARTINO Alessio,MARTINO,Martino,Alessio,M,Luiss Guido Carli,,01/INFO-01,INFO-01/A,INF/01,01/B1,IMPRESA E MANAGEMENT,,,https://openalex.org/A5102864628,Alessio Martino,0000-0003-1730-5436,16.0,26.0,68.0,753.0,Libera Università Internazionale degli Studi Sociali Guido Carli
Associato,MARZOLLA Moreno,MARZOLLA Moreno,MARZOLLA,Marzolla,Moreno,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica - Scienza e Ingegneria,,,https://openalex.org/A5001098303,Moreno Marzolla,0000-0002-2151-5287,26.0,47.0,140.0,3640.0,University of Bologna
Associato,MASCARDI Viviana,MASCARDI Viviana,MASCARDI,Mascardi,Viviana,F,GENOVA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",,,https://openalex.org/A5022301074,Viviana Mascardi,0000-0002-2261-9926,24.0,53.0,202.0,2048.0,University of Genoa
Associato,MASCETTI Sergio,MASCETTI Sergio,MASCETTI,Mascetti,Sergio,M,MILANO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',,,https://openalex.org/A5000621430,Sergio Mascetti,0000-0002-8416-4023,24.0,46.0,127.0,1785.0,University of Milan
Associato,MASELLI Gaia,MASELLI Gaia,MASELLI,Maselli,Gaia,F,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5016487554,Gaia Maselli,0000-0003-3915-6371,15.0,22.0,61.0,1107.0,Sapienza University of Rome
Associato,MASI Iacopo,MASI Iacopo,MASI,Masi,Iacopo,M,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5089059382,Iacopo Masi,0000-0003-0444-7646,25.0,40.0,84.0,4772.0,Sapienza University of Rome
Ordinario,MASINI Andrea,MASINI Andrea,MASINI,Masini,Andrea,M,VERONA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5020986142,Andrea Masini,0000-0002-8365-5306,18.0,27.0,69.0,1546.0,HEC Paris
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MASSA Silvia Maria,MASSA Silvia Maria,MASSA,Massa,Silvia Maria,F,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5072729981,Silvia M. Massa,0000-0002-3285-8971,5.0,1.0,13.0,51.0,University of Cagliari
Associato confermato,MASSAZZA Paolo,MASSAZZA Paolo,MASSAZZA,Massazza,Paolo,M,INSUBRIA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Scienze Teoriche e Applicate,,,https://openalex.org/A5081766943,Paolo Massazza,,6.0,3.0,47.0,129.0,University of Insubria
Associato confermato,MASSINI Annalisa,MASSINI Annalisa,MASSINI,Massini,Annalisa,F,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5061205069,Annalisa Massini,0000-0001-8343-8929,16.0,24.0,78.0,637.0,Sapienza University of Rome
